step	learning_rate
206	8.018018018018019e-05
207	8.003003003003004e-05
208	7.987987987987988e-05
209	7.972972972972974e-05
210	7.957957957957959e-05
211	7.942942942942944e-05
212	7.927927927927928e-05
213	7.912912912912914e-05
214	7.897897897897898e-05
215	7.882882882882884e-05
216	7.867867867867868e-05
217	7.852852852852854e-05
218	7.837837837837838e-05
219	7.822822822822822e-05
220	7.807807807807808e-05
221	7.792792792792794e-05
222	7.777777777777778e-05
223	7.762762762762762e-05
224	7.747747747747748e-05
225	7.732732732732733e-05
226	7.717717717717718e-05
227	7.702702702702703e-05
228	7.687687687687688e-05
229	7.672672672672673e-05
230	7.657657657657657e-05
231	7.642642642642644e-05
232	7.627627627627628e-05
233	7.612612612612613e-05
234	7.597597597597597e-05
235	7.582582582582583e-05
236	7.567567567567568e-05
237	7.552552552552553e-05
238	7.537537537537538e-05
239	7.522522522522523e-05
240	7.507507507507507e-05
241	7.492492492492493e-05
242	7.477477477477479e-05
243	7.462462462462463e-05
244	7.447447447447447e-05
245	7.432432432432433e-05
246	7.417417417417419e-05
247	7.402402402402403e-05
